File,Number of Changes
ShareX.HelpersLib/Native/LayeredForm.cs,23
ShareX.HelpersLib/Native/NativeConstants.cs,26
ShareX.HelpersLib/Native/NativeEnums.cs,34
ShareX.HelpersLib/Native/NativeMethods_Helpers.cs,56
ShareX.HelpersLib/Native/NativeStructs.cs,31
ShareX.HelpersLib/Native/TaskbarManager.cs,19
ShareX.HelpersLib/Native/WindowInfo.cs,27
ShareX.HelpersLib/NativeMessagingHost.cs,3
ShareX.HelpersLib/PingHelper.cs,16
ShareX.HelpersLib/PingResult.cs,15
ShareX.HelpersLib/PointInfo.cs,8
ShareX.HelpersLib/Printer/PrintHelper.cs,20
ShareX.HelpersLib/Printer/PrintSettings.cs,17
ShareX.HelpersLib/Printer/PrintTextHelper.cs,19
ShareX.HelpersLib/ProxyInfo.cs,18
ShareX.HelpersLib/Random/RandomCrypto.cs,8
ShareX.HelpersLib/Random/RandomFast.cs,8
ShareX.HelpersLib/Settings/DPAPIEncryptedStringPropertyResolver.cs,6
ShareX.HelpersLib/Settings/DPAPIEncryptedStringValueProvider.cs,9
ShareX.HelpersLib/Settings/JsonEncryptAttribute.cs,6
ShareX.HelpersLib/Settings/KnownTypesSerializationBinder.cs,6
ShareX.HelpersLib/Settings/SafeStringEnumConverter.cs,6
ShareX.HelpersLib/Settings/SettingsBase.cs,18
ShareX.HelpersLib/Settings/WritablePropertiesOnlyResolver.cs,7
ShareX.HelpersLib/SevenZipManager.cs,12
ShareX.HelpersLib/ShareXResources.cs,74
ShareX.HelpersLib/ShareXTheme.cs,30
ShareX.HelpersLib/SingleInstanceManager.cs,12
ShareX.HelpersLib/StringLineReader.cs,15
ShareX.HelpersLib/TaskEx.cs,17
ShareX.HelpersLib/TextBoxTraceListener.cs,15
ShareX.HelpersLib/ThreadWorker.cs,18
ShareX.HelpersLib/TimerResolutionManager.cs,5
ShareX.HelpersLib/UITypeEditors/CssFileNameEditor.cs,15
ShareX.HelpersLib/UITypeEditors/DirectoryNameEditor.cs,21
ShareX.HelpersLib/UITypeEditors/EnumDescriptionConverter.cs,20
ShareX.HelpersLib/UITypeEditors/EnumProperNameConverter.cs,8
ShareX.HelpersLib/UITypeEditors/EnumProperNameKeepCaseConverter.cs,6
ShareX.HelpersLib/UITypeEditors/ExeFileNameEditor.cs,15
ShareX.HelpersLib/UITypeEditors/GradientEditor.cs,16
ShareX.HelpersLib/UITypeEditors/ImageFileNameEditor.cs,23
ShareX.HelpersLib/UITypeEditors/JsonFileNameEditor.cs,17
