Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,RatioCommentToCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,MaxNesting,MaxCyclomatic,Cyclomatic
File,"DefaultLifecycleRegistry.java",1,501,416,33,0.08,61,,,2,3,
File,"DefaultLifecycleStarter.java",3,139,94,22,0.23,10,,,2,7,
File,"DefaultLifecycleTaskSegmentCalculator.java",2,159,104,29,0.28,16,,,3,6,
File,"DefaultLifecycles.java",2,187,111,49,0.44,26,,,4,9,
File,"DefaultLifecyclesStub.java",2,90,57,22,0.39,2,,,1,2,
File,"DefaultLifecyclesTest.java",1,108,74,20,0.27,8,,,0,1,
File,"DefaultLocalRepository.java",1,58,30,18,0.60,5,,,0,1,
File,"DefaultLocalRepositoryManager.java",1,64,40,18,0.45,4,,,1,2,
File,"DefaultLog.java",1,106,64,21,0.33,19,,,1,2,
File,"DefaultLog.java",2,189,141,18,0.13,43,,,1,2,
File,"DefaultLogLevelRecorder.java",1,80,49,21,0.43,10,,,3,4,
File,"DefaultLookup.java",2,105,75,18,0.24,15,,,2,3,
File,"DefaultMaven.java",2,653,462,98,0.21,71,,,3,12,
File,"DefaultMavenExecutionRequest.java",1,1212,899,43,0.05,188,,,2,3,
File,"DefaultMavenExecutionRequestPopulator.java",4,240,137,56,0.41,29,,,4,12,
File,"DefaultMavenExecutionRequestPopulatorTest.java",1,62,33,19,0.58,1,,,0,1,
File,"DefaultMavenExecutionResult.java",1,106,63,18,0.29,14,,,0,2,
File,"DefaultMavenExecutionTest.java",1,51,26,20,0.77,2,,,0,1,
File,"DefaultMavenMetadataCache.java",2,322,249,28,0.11,48,,,4,6,
File,"DefaultMavenMetadataCacheTest.java",1,73,42,21,0.50,2,,,0,1,
File,"DefaultMavenPluginManager.java",4,1028,825,61,0.07,123,,,4,22,
File,"DefaultMavenPluginValidator.java",4,50,22,21,0.95,4,,,1,4,
File,"DefaultMavenProjectBuilder.java",2,287,204,39,0.19,29,,,4,6,
File,"DefaultMavenProjectBuilderTest.java",1,538,384,68,0.18,48,,,1,2,
File,"DefaultMavenProjectHelper.java",1,122,70,28,0.40,9,,,1,3,
File,"DefaultMavenSettingsBuilder.java",1,131,75,36,0.48,11,,,2,3,
