File,Number of Changes
toqito/channel_props/tests/test_is_completely_positive.py,3
toqito/channel_props/tests/test_is_herm_preserving.py,3
toqito/channel_props/tests/test_is_positive.py,3
toqito/channel_props/tests/test_is_quantum_channel.py,3
toqito/channel_props/tests/test_is_trace_preserving.py,4
toqito/channel_props/tests/test_is_unital.py,3
toqito/channel_props/tests/test_is_unitary.py,3
toqito/channels/tests/test_choi.py,4
toqito/channels/tests/test_dephasing.py,3
toqito/channels/tests/test_depolarizing.py,3
toqito/channels/tests/test_partial_trace.py,8
toqito/channels/tests/test_realignment.py,5
toqito/channels/tests/test_reduction.py,3
toqito/helper/tests/test_channel_dim.py,4
toqito/helper/tests/test_expr_as_np_array.py,3
toqito/helper/tests/test_np_array_as_expr.py,3
toqito/matrices/tests/test_cnot.py,3
toqito/matrices/tests/test_cyclic_permutation.py,4
toqito/matrices/tests/test_fourier.py,3
toqito/matrices/tests/test_gen_pauli.py,3
toqito/matrices/tests/test_hadamard.py,3
toqito/matrices/tests/test_pauli.py,4
toqito/matrices/tests/test_standard_basis.py,2
toqito/matrix_ops/tests/test_calculate_vector_matrix_dimension.py,3
toqito/matrix_ops/tests/test_unvec.py,5
toqito/matrix_ops/tests/test_vec.py,5
toqito/matrix_ops/tests/test_vectors_from_gram_matrix.py,9
toqito/matrix_ops/tests/test_vectors_to_gram_matrix.py,7
toqito/matrix_props/tests/test_has_same_dimension.py,2
toqito/matrix_props/tests/test_is_circulant.py,3
toqito/matrix_props/tests/test_is_commuting.py,3
toqito/matrix_props/tests/test_is_density.py,3
toqito/matrix_props/tests/test_is_diagonal.py,3
toqito/matrix_props/tests/test_is_diagonally_dominant.py,4
toqito/matrix_props/tests/test_is_idempotent.py,3
toqito/matrix_props/tests/test_is_identity.py,3
toqito/matrix_props/tests/test_is_linearly_independent.py,4
toqito/matrix_props/tests/test_is_normal.py,4
toqito/matrix_props/tests/test_is_orthonormal.py,4
toqito/matrix_props/tests/test_is_permutation.py,3
toqito/matrix_props/tests/test_is_positive_definite.py,3
toqito/matrix_props/tests/test_is_positive_semidefinite.py,3
toqito/matrix_props/tests/test_is_projection.py,4
toqito/matrix_props/tests/test_is_square.py,3
toqito/matrix_props/tests/test_is_symmetric.py,3
toqito/matrix_props/tests/test_is_totally_positive.py,5
toqito/matrix_props/tests/test_is_unitary.py,3
toqito/measurement_props/is_povm.py,12
toqito/measurement_props/tests/test_is_povm.py,3
toqito/nonlocal_games/__init__.py,4
toqito/nonlocal_games/tests/test_xor_game.py,3
toqito/perms/tests/test_perm_sign.py,3
toqito/perms/tests/test_swap.py,4
toqito/perms/tests/test_swap_operator.py,3
toqito/perms/tests/test_unique_perms.py,3
toqito/rand/tests/test_random_circulant_gram.py,3
toqito/state_metrics/tests/test_hilbert_schmidt_inner_product.py,4
toqito/state_opt/state_helper.py,4
toqito/state_opt/tests/test_optimal_clone.py,4
toqito/state_props/tests/test_concurrence.py,5
toqito/state_props/tests/test_entanglement_of_formation.py,6
toqito/state_props/tests/test_has_symmetric_extension.py,4
toqito/state_props/tests/test_is_antidistinguishable.py,6
toqito/state_props/tests/test_is_distinguishable.py,2
toqito/state_props/tests/test_is_ensemble.py,4
toqito/state_props/tests/test_is_mixed.py,5
toqito/state_props/tests/test_is_mutually_orthogonal.py,5
toqito/state_props/tests/test_is_mutually_unbiased_basis.py,8
toqito/state_props/tests/test_is_npt.py,4
toqito/state_props/tests/test_is_ppt.py,4
toqito/state_props/tests/test_is_product.py,5
toqito/state_props/tests/test_is_pure.py,5
toqito/state_props/tests/test_is_unextendible_product_basis.py,6
toqito/state_props/tests/test_l1_norm_coherence.py,2
toqito/state_props/tests/test_log_negativity.py,4
toqito/state_props/tests/test_negativity.py,4
toqito/state_props/tests/test_purity.py,4
toqito/state_props/tests/test_schmidt_rank.py,5
toqito/state_props/tests/test_sk_vec_norm.py,3
toqito/state_props/tests/test_von_neumann_entropy.py,4
toqito/states/pusey_barrett_rudolph.py,4
toqito/states/tests/test_basis.py,4
toqito/states/tests/test_bb84.py,2
toqito/states/tests/test_bell.py,4
toqito/states/tests/test_brauer.py,4
toqito/states/tests/test_breuer.py,4
toqito/states/tests/test_chessboard.py,2
toqito/states/tests/test_domino.py,4
toqito/states/tests/test_gen_bell.py,4
toqito/states/tests/test_gisin.py,2
toqito/states/tests/test_horodecki.py,3
