File,Number of Changes
Source/Components/ImageGlass.WebP/Enums.cs,5
Source/Components/ImageGlass.WebP/Structs.cs,5
Source/Components/ImageGlass.WebP/WebPWrapper.cs,10
Source/Components/ImageGlass.WebP/libwebp.cs,9
Source/Components/ImageGlass.WebP/libwebpdemux.cs,7
Source/Components/ImageGlass.WinTouch/GestureConfig.cs,5
Source/Components/ImageGlass.WinTouch/GestureEventArgs.cs,5
Source/Components/ImageGlass.WinTouch/GestureInfo.cs,3
Source/Components/ImageGlass.WinTouch/GestureListener.cs,4
Source/Components/ImageGlass.WinTouch/NativeMethods.cs,4
Source/ImageGlass/FrmAbout.cs,6
Source/ImageGlass/FrmHotkeyPicker.cs,3
Source/ImageGlass/FrmMain/FrmMain.Theme.cs,6
Source/ImageGlass/FrmSettings.cs,25
Source/ImageGlass/License/d2phap.txt,3
Source/ImageGlass/WinShare/DataTransferManagerHelper.cs,5
Source/ImageGlass/WinShare/WinShare.cs,8
Source/igcmd/Functions.cs,15
Source/igcmd/Program.cs,20
Source/igcmd/Tools/CmdHelper.cs,3
Source/igcmd/Tools/FrmExportFrames.cs,6
Source/igcmd/Tools/FrmUpdate.cs,11
Source/ImageGlass/Tools/FrmColorPicker.Designer.cs,3
Source/Components/ImageGlass.Settings/WebUI/src/DXCanvas_Webview2/HapplaBoxViewer.ts,2
Source/Components/ImageGlass.Settings/WebUI/src/DXCanvas_Webview2/webComponents/happlajs/HapplaBox.ts,3
Source/Components/ImageGlass.Settings/WebUI/src/DXCanvas_Webview2/webComponents/happlajs/HapplaBoxTypes.ts,2
Source/Components/ImageGlass.Settings/WebUI/src/styles/utilities/flex.scss,2
Setup/AdvancedInstaller/ImageGlass_9_x64.aip,19
Setup/Settings/igconfig.default.json,2
Setup/Assets/ReadMe.rtf,6
Source/ImageGlass/Tools/FrmResize.Designer.cs,7
Tools/CodeSigning/sign_a_file.bat,6
"Setup/Assets/Language/Arabic, Egypt.iglang.json",4
Setup/Assets/Language/Armenian.iglang.json,6
Setup/Assets/Language/Bulgarian.iglang.json,6
Setup/Assets/Language/Catalan.iglang.json,4
Setup/Assets/Language/Chinese Simplified.iglang.json,9
Setup/Assets/Language/Chinese Traditional.iglang.json,6
Setup/Assets/Language/Croatian.iglang.json,8
Setup/Assets/Language/Czech.iglang.json,6
Setup/Assets/Language/Danish.iglang.json,4
Setup/Assets/Language/Dutch.iglang.json,8
Setup/Assets/Language/Finnish.iglang.json,1
Setup/Assets/Language/French.iglang.json,6
Setup/Assets/Language/German.iglang.json,7
Setup/Assets/Language/Greek.iglang.json,7
Setup/Assets/Language/Hebrew.iglang.json,4
Setup/Assets/Language/Hungarian.iglang.json,5
